"hmain","hname","province_id","hlevel","hclass","hrib","hfund","hpmodel","catm","htype","subtype","datein","dateout","remark","weight","status_uc","hname_title","hname_name","hmain9","f_hcap","f_hreserve","cross_province","hid","ingest_tm"
"02268",รพ.สต.บ้านโคกตะเคียนงาม,"2400","36",P,"54",,,"24080303","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านโคกตะเคียนงาม,"000226800",,,N,50088,"20240410185051"
"02269",รพ.สต.บ้านกระบกเตี้ย,"2400","36",P,"54",,,"24080205","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านกระบกเตี้ย,"000226900",,,N,50089,"20240410185051"
"02270",รพ.สต.บ้านชำป่างาม,"2400","36",P,"54",,,"24080208","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านชำป่างาม,"000227000",,,N,50090,"20240410185051"
"02271",รพ.สต.บ้านโปร่งเกตุ,"2400","36",P,"54",,,"24080210","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านโปร่งเกตุ,"000227100",,,N,50091,"20240410185051"
"02272",รพ.สต.บ้านโปร่งเจริญ,"2400","36",P,"54",,,"24080212","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านโปร่งเจริญ,"000227200",,,N,50092,"20240410185051"
"02273",รพ.สต.บ้านนายาว,"2400","36",P,"54",,,"24080215","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านนายาว,"000227300",,,N,50093,"20240410185051"
"02274",รพ.สต.คลองอุดม,"2400","36",P,"54",,,"24080304","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,คลองอุดม,"000227400",,,N,50094,"20240410185051"
"02275",รพ.สต.ทุ่งพระยา,"2400","36",P,"54",,,"24080308","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,ทุ่งพระยา,"000227500",,,N,50095,"20240410185051"
"02276",รพ.สต.บ้านก.ม.7,"2400","36",P,"54",,,"24080506","0010","001005",2002-10-01 00:00:00.000,,แก้ไขชื่อคู่สัญญาครั้งที่2,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,บ้านก.ม.7,"000227600",,,N,50096,"20240410185051"
"02277",รพ.สต.ลาดกระทิง,"2400","36",P,"54",,,"24080507","0010","001005",2002-10-01 00:00:00.000,,เปลี่ยน HTITLE เป็น รพ.สต.,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,ลาดกระทิง,"000227700",,,N,50097,"20240410185051"
"02278",รพ.สต.แปลงยาว,"2400","36",P,"54",,,"24090105","0010","001005",2002-10-01 00:00:00.000,,เพิ่มศักยภาพ,,"1",โรงพยาบาลส่งเสริมสุขภาพตำบล,แปลงยาว,"000227800",,,N,50098,"20240410185051"
