hcode,hname,prov,ampr,tumbon,latitude,longitude
06454,รพ.สต.บ้านดู่ใต้,น่าน,เมืองน่าน,ดู่ใต้,18.7310338,100.7513442
06455,รพ.สต.บ้านดอนมูล,น่าน,เมืองน่าน,ดู่ใต้,18.7569046,100.7620849
06464,รพ.สต.บ้านเมืองจัง,น่าน,ภูเพียง,เมืองจัง,18.858646,100.819613
06472,รพ.สต.บ้านตอง,น่าน,แม่จริม,แม่จริม,18.8489435,101.0292934
06482,รพ.สต.เชียงของ,น่าน,นาน้อย,เชียงของ,18.3099011,100.7357928
06483,รพ.สต.ศรีษะเกษ,น่าน,นาน้อย,ศรีษะเกษ,18.3789294,100.8225732
05807,รพ.สต.บ้านคำพอก,มุกดาหาร,หนองสูง,โนนยาง,16.5068967,104.245408
05812,ศูนย์บริการสาธารณสุขเทศบาลตำบลสุเทพ,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.7693372,98.9496626
05819,รพ.สต.บ้านป่าข่อยเหนือ,เชียงใหม่,เมืองเชียงใหม่,สันผีเสื้อ,18.8693431,98.98108429999999
05829,รพ.สต.บ้านวังน้ำหยาด,เชียงใหม่,จอมทอง,แม่สอย,18.2971437,98.6424218
05830,รพ.สต.บ้านใหม่สารภี,เชียงใหม่,จอมทอง,แม่สอย,18.2819728,98.6599935
05866,รพ.สต.บ้านช่อแล,เชียงใหม่,แม่แตง,ช่อแล,19.145513,99.0112
05869,รพ.สต.บ้านเป้า,เชียงใหม่,แม่แตง,บ้านเป้า,19.1875004,98.9973969
05874,รพ.สต.บ้านแม่ตะมาน,เชียงใหม่,แม่แตง,กื้ดช้าง,19.2024104,98.8858442
06508,รพ.สต.แสนทอง,น่าน,ท่าวังผา,แสนทอง,19.1468215,100.7210593
05279,รพ.สต.บ้านอนามัย,ร้อยเอ็ด,จังหาร,ผักแว่น,16.1654569,103.5470083
05290,รพ.สต.บ้านขมิ้น,ร้อยเอ็ด,หนองฮี,เด่นราษฎร์,15.6145514,103.9963395
